:ID,:LABEL,properties
mcro_allMiniLML6v2,NamedIndividual;mcro_Model,{}
mcro_clipmodel-performance-imagenetvid,NamedIndividual;mcro_PerformanceMetricInformationSection,{'prov_hasTextValue': 'ImageNet-Vid'}
mcro_resnet50a1in1k,NamedIndividual;mcro_Model,{}
mcro_resnet50a1in1k-ModelDetail,NamedIndividual;mcro_ModelDetailSection,{}
mcro_llama318BInstructGGUF-ModelArchitecture,NamedIndividual;mcro_ModelArchitectureInformationSection,{'prov_hasTextValue': 'Llama 3.1 is an auto-regressive language model that uses an optimized transformer architecture. The tuned versions use supervised fine-tuning (SFT) and reinforcement learning with human feedback (RLHF) to align with human preferences for helpfulness and safety.'}
mcro_clipmodel-performance-voc2007,NamedIndividual;mcro_PerformanceMetricInformationSection,{'prov_hasTextValue': 'VOC2007'}
mcro_bertbasemodeluncased,NamedIndividual;mcro_Model,{}
mcro_bertbasemodeluncased-ModelDetail,NamedIndividual;mcro_ModelDetailSection,{}
mcro_clipmodel-performance-country211,NamedIndividual;mcro_PerformanceMetricInformationSection,{'prov_hasTextValue': 'Country211'}
mcro_dima806fairfaceageimagedetection,NamedIndividual;mcro_Model,{}
mcro_dima806fairfaceageimagedetection-UseCaseInformationSection,NamedIndividual;mcro_UseCaseInformationSection,{'prov_hasTextValue': 'Detects age group with about 59% accuracy based on an image.'}
mcro_pyannotesegmentation30,NamedIndividual;mcro_Model,{}
mcro_pyannotesegmentation30-Architecture,NamedIndividual;mcro_ModelArchitectureInformationSection,"{'prov_hasTextValue': '10 seconds of mono audio sampled at 16kHz and outputs speaker diarization as a (num_frames, num_classes) matrix where the 7 classes are _non-speech_, _speaker #1_, _speaker #2_, _speaker #3_, _speakers #1 and #2_, _speakers #1 and #3_, and _speakers #2 and #3_.'}"
mcro_clipmodel-modelarchitecture,NamedIndividual;mcro_ModelArchitectureInformationSection,{'prov_hasTextValue': 'ViT-L/14 Transformer architecture'}
mcro_clipmodel-performance-sun397,NamedIndividual;mcro_PerformanceMetricInformationSection,{'prov_hasTextValue': 'SUN397'}
mcro_Falconsainsfwimagedetection,NamedIndividual;mcro_Model,{}
mcro_Falconsainsfwimagedetection-ModelDetail,NamedIndividual;mcro_ModelDetailSection,{}
mcro_YOLOv8DetectionModel-DatasetInformationSection,NamedIndividual;mcro_DatasetInformationSection,{}
mcro_clipmodel-performance-caltech101,NamedIndividual;mcro_PerformanceMetricInformationSection,{'prov_hasTextValue': 'Caltech101'}
mcro_Falconsainsfwimagedetection-Reference,NamedIndividual;mcro_ReferenceInformationSection,{'prov_hasTextValue': '- [Hugging Face Model Hub](https://huggingface.co/models)\n- [Vision Transformer (ViT) Paper](https://arxiv.org/abs/2010.11929)\n- [ImageNet-21k Dataset](http://www.image-net.org/)'}
mcro_gpt2-License,NamedIndividual;mcro_LicenseInformationSection,{}
