:START_ID,TYPE,:END_ID
mcro_petalsteamStableBeluga2,mcro_hasCitation,mcro_petalsteamStableBeluga2-Citation3
mcro_prajjwal1berttiny,mcro_hasModelArchitecture,mcro_prajjwal1berttiny-ModelArchitecture
mcro_Stablediffusionsafetychecker-ModelDetail,mcro_hasLicense,mcro_Stablediffusionsafetychecker-License
mcro_AlibabaNLPgtebaseenv15,mcro_hasModelArchitecture,mcro_AlibabaNLPgtebaseenv15-ModelArchitecture
mcro_visiontransformerbasesizedmodel,mcro_hasUseCase,mcro_visiontransformerbasesizedmodel-UseCaseInformationSection
mcro_germansentimentbert,mcro_hasDataset,mcro_germansentimentbert-Dataset
mcro_Stablediffusionv14ModelCard-ModelDetailSection,mcro_hasLicense,mcro_Stablediffusionv14ModelCard-License
mcro_flairnerenglishlarge,mcro_hasCitation,mcro_flairnerenglishlarge-Citation
mcro_Qwen257B,mcro_hasCitation,mcro_Qwen257B-Citation
mcro_e5largev2,mcro_hasCitation,mcro_e5largev2-CitationInformationSection
mcro_metallamaLlama3370BInstruct-ModelDetail,mcro_hasModelArchitecture,mcro_metallamaLlama3370BInstruct-ModelArchitecture
mcro_metaLlama3,mcro_hasModelDetail,mcro_metaLlama3-ModelDetail
mcro_vocos,mcro_hasModelArchitecture,mcro_vocos-ModelArchitectureInformationSection
mcro_HuggingFaceM4idefics28b,mcro_hasCitation,mcro_HuggingFaceM4idefics28b-Citation
mcro_xlmrobertabaselanguagedetection,mcro_hasIntendedUseCase,mcro_xlmrobertabaselanguagedetection-IntendedUseCase
mcro_MaziyarPanahiPhi35miniinstructGGUF,mcro_hasModelDetails,mcro_MaziyarPanahiPhi35miniinstructGGUF-ModelDetail
mcro_bertbasechinese,mcro_hasModelParameter,mcro_bertbasechinese-ModelParameter
mcro_patrickjohncyhfashionclip-ModelDetail,mcro_hasCitation,mcro_patrickjohncyhfashionclip-Citation
mcro_Salesforcecodet5basemultisum,mcro_hasUseCase,mcro_Salesforcecodet5basemultisum-UseCase
mcro_chronos-t5-base,mcro_hasUseCase,mcro_chronos-t5-base-UseCaseInformationSection
mcro_chronos-t5-tiny,mcro_hasCitation,mcro_chronos-t5-tiny-CitationSection
mcro_distilbertbasemultilingualcased,mcro_hasUseCase,mcro_distilbertbasemultilingualcased-UseCase
mcro_cambridgeltlSapBERTfromPubMedBERTfulltext,mcro_hasModelDetail,mcro_cambridgeltlSapBERTfromPubMedBERTfulltext-ModelDetail
mcro_TaiyiCLIPRoberta102MChinese-ModelDetail,mcro_hasCitation,mcro_TaiyiCLIPRoberta102MChinese-Citation2
mcro_distilbertbasemodeluncased,mcro_hasCitation,mcro_distilbertbasemodeluncased-Citation
mcro_t5base-ModelDetail,mcro_hasCitation,mcro_t5base-Citation
mcro_mobilevitsmall-ModelDetail,mcro_hasLicense,mcro_mobilevitsmall-License
mcro_petalsteamStableBeluga2,mcro_hasModelDetail,mcro_petalsteamStableBeluga2-ModelDetail2
mcro_microsoftFlorence2base,mcro_hasCitation,mcro_Florence-2Citation
mcro_QwenQwen25VL7BInstruct,mcro_hasUseCase,mcro_QwenQwen25VL7BInstruct-UseCase
mcro_opusmtruen,mcro_hasTrainingData,mcro_opusmtruen-TrainingData
mcro_segformerb0finetunedade20k,mcro_hasLicense,mcro_segformerb0finetunedade20k-License
mcro_efficientnet_b0.ra_in1k-ModelDetail,mcro_hasCitation,mcro_efficientnet_b0.ra_in1k-Citation3
mcro_rubertbasecased,mcro_hasCitation,mcro_rubertbasecased-Citation
mcro_ESM2,mcro_hasCitation,mcro_ESM2-Citation
mcro_pyannotespeakerdiarization30,mcro_hasDataset,mcro_pyannotespeakerdiarization30-Dataset
mcro_wav2vec2largexlsr53-ModelDetail,mcro_hasLicense,mcro_wav2vec2largexlsr53-License
mcro_Qwen317B-ModelDetail,mcro_hasModelArchitecture,mcro_Qwen317B-ModelArchitecture
mcro_xlmrobertabaselanguagedetection,mcro_hasQuantativeAnalysis,mcro_xlmrobertabaselanguagedetection-QuantativeAnalysis
