:START_ID,TYPE,:END_ID
mcro_flan-t5-large,mcro_hasModelDetail,mcro_flan-t5-large-ModelDetail
mcro_intfloate5mistral7binstruct,mcro_hasLimitation,mcro_intfloate5mistral7binstruct-Limitation
mcro_pyannotespeakerdiarization31,mcro_hasDataset,mcro_pyannotespeakerdiarization31-DatasetInformationSection
mcro_stabilityaisdturbo,mcro_hasLimitation,mcro_stabilityaisdturbo-Limitation
mcro_sentencetransformersdistilusebasemultilingualcasedv2,mcro_hasCitation,mcro_sentencetransformersdistilusebasemultilingualcasedv2-Citation
mcro_clipvitlargepatch14,mcro_hasConsideration,mcro_clipvitlargepatch14-Consideration
mcro_MaziyarPanahiPhi35miniinstructGGUF,mcro_hasModelDetails,mcro_MaziyarPanahiPhi35miniinstructGGUF-ModelDetail
mcro_flan-t5-large,mcro_hasUseCase,mcro_flan-t5-large-UseCase
mcro_resnet18a1in1k-ModelDetail,mcro_hasModelArchitecture,mcro_resnet18a1in1k-ModelArchitecture
mcro_distilbertbasemultilingualcased-ModelDetail,mcro_hasCitation,mcro_distilbertbasemultilingualcased-Citation
mcro_tabletransformerfinetunedfortablestructurerecognition,mcro_hasUseCase,mcro_tabletransformerfinetunedfortablestructurerecognition-UseCase
mcro_crossencodernlidebertav3base,mcro_hasUseCase,mcro_crossencodernlidebertav3base-UseCase
mcro_ai4bharatindictrans2indicen1B,mcro_hasUseCase,mcro_ai4bharatindictrans2indicen1B-UseCase
mcro_Falconsainsfwimagedetection,mcro_hasModelDetail,mcro_Falconsainsfwimagedetection-ModelDetail
mcro_RobertaLargeMnli,mcro_hasEvaluationData,mcro_RobertaLargeMnli-EvaluationData
mcro_XuhuiToxDectrobertalarge,mcro_hasModelArchitecture,mcro_XuhuiToxDectrobertalarge-ModelArchitecture
mcro_microsoftFlorence2large,mcro_hasModelArchitecture,mcro_microsoftFlorence2large-ModelArchitecture
mcro_efficientnet_b3.ra2_in1k-ModelDetail,mcro_hasModelArchitecture,mcro_efficientnet_b3.ra2_in1k-Arch
mcro_intfloatmultilinguale5largeinstruct,mcro_hasLimitation,mcro_intfloatmultilinguale5largeinstruct-Limitation
mcro_whisper,mcro_hasModelDetail,mcro_whisper-ModelDetail
mcro_bertbaseuncased,mcro_hasModelDetail,mcro_bertbaseuncased-ModelDetail
mcro_BAAIbgebaseen,mcro_hasLicense,mcro_BAAIbgebaseen-License
mcro_QwenQwen2VL7BInstruct,mcro_hasModelDetail,mcro_QwenQwen2VL7BInstruct-ModelDetail
mcro_resnet18a1in1k,mcro_hasModelDetail,mcro_resnet18a1in1k-ModelDetail
mcro_Whisperlargev2modelforCTranslate2,mcro_hasUseCase,mcro_Whisperlargev2modelforCTranslate2-UseCaseInformationSection
mcro_gpt2,mcro_hasConsideration,mcro_gpt2-Consideration
mcro_whisper,mcro_hasDataset,mcro_whisper-DatasetInformationSection
mcro_sdxlvae,mcro_hasModelArchitecture,mcro_sdxlvae-ModelArchitectureInformationSection
